@relation MORPHO_Dataset-weka.filters.unsupervised.attribute.Remove-R1

@attribute 'Bif_ampl_local Mean' numeric
@attribute 'Bif_ampl_local SD' numeric
@attribute 'Bif_ampl_remote Mean' numeric
@attribute 'Bif_ampl_remote SD' numeric
@attribute 'Bif_tilt_local Mean' numeric
@attribute 'Bif_tilt_local SD' numeric
@attribute 'Bif_tilt_remote Mean' numeric
@attribute 'Bif_tilt_remote SD' numeric
@attribute 'Bif_torque_local Mean' numeric
@attribute 'Bif_torque_local SD' numeric
@attribute 'Bif_torque_remote Mean' numeric
@attribute 'Bif_torque_remote SD' numeric
@attribute 'Branch_Order Mean' numeric
@attribute 'Branch_Order Max' numeric
@attribute 'Branch_Order SD' numeric
@attribute 'Branch_pathlength Mean' numeric
@attribute 'Branch_pathlength Max' numeric
@attribute 'Branch_pathlength SD' numeric
@attribute 'Contraction Mean' numeric
@attribute 'Contraction SD' numeric
@attribute 'Daughter_Ratio Mean' numeric
@attribute 'Daughter_Ratio SD' numeric
@attribute 'Depth Mean' numeric
@attribute 'Diam_threshold Mean' numeric
@attribute 'Diam_threshold SD' numeric
@attribute 'Diameter Mean' numeric
@attribute 'Diameter SD' numeric
@attribute 'Diameter_pow Mean' numeric
@attribute 'Diameter_pow SD' numeric
@attribute 'EucDistance Mean' numeric
@attribute 'EucDistance Max' numeric
@attribute 'EucDistance SD' numeric
@attribute 'Fractal_Dim Mean' numeric
@attribute 'Fractal_Dim SD' numeric
@attribute 'Fragmentation Mean' numeric
@attribute 'Fragmentation SD' numeric
@attribute 'Height Mean' numeric
@attribute 'Helix Mean' numeric
@attribute 'Helix SD' numeric
@attribute 'HillmanThreshold Mean' numeric
@attribute 'HillmanThreshold SD' numeric
@attribute 'Last_parent_diam Mean' numeric
@attribute 'Last_parent_diam SD' numeric
@attribute 'Length Total' numeric
@attribute 'N_bifs Total' numeric
@attribute 'N_branch Total' numeric
@attribute 'N_stems Total' numeric
@attribute 'N_tips Total' numeric
@attribute 'Parent_Daughter_Ratio Mean' numeric
@attribute 'Parent_Daughter_Ratio SD' numeric
@attribute 'Partition_asymmetry Mean' numeric
@attribute 'Partition_asymmetry SD' numeric
@attribute 'PathDistance Mean' numeric
@attribute 'PathDistance Max' numeric
@attribute 'PathDistance SD' numeric
@attribute 'Pk Mean' numeric
@attribute 'Pk SD' numeric
@attribute 'Pk_2 Mean' numeric
@attribute 'Pk_2 SD' numeric
@attribute 'Pk_classic Mean' numeric
@attribute 'Pk_classic SD' numeric
@attribute 'Rall_Power Mean' numeric
@attribute 'Rall_Power SD' numeric
@attribute 'SectionArea Mean' numeric
@attribute 'SectionArea SD' numeric
@attribute 'Soma_Surface Total' numeric
@attribute 'Surface Total' numeric
@attribute 'Surface Mean' numeric
@attribute 'Surface SD' numeric
@attribute 'Taper_1 Mean' numeric
@attribute 'Taper_1 SD' numeric
@attribute 'Taper_2 Mean' numeric
@attribute 'Taper_2 SD' numeric
@attribute 'Terminal_degree Mean' numeric
@attribute 'Terminal_degree Max' numeric
@attribute 'Terminal_degree SD' numeric
@attribute 'TerminalSegment Total' numeric
@attribute 'Volume Total' numeric
@attribute 'Volume Mean' numeric
@attribute 'Volume SD' numeric
@attribute 'Width Mean' numeric
@attribute Clase {Old,Young}

@data
73.4685,20.1372,56.5921,17.5486,118.124,16.1572,133.139,16.0115,67.2665,33.6927,87.4936,45.6669,3.56716,8,2.02764,52.8872,160.39,45.3241,0.900244,0.060764,1.86257,1.05288,73.54,1.67293,4.0724,0.601184,1.07466,0.72642,4.59869,89.9015,292.654,49.7921,1.0272,0.020248,15.0172,13.2297,284.69,0.002086,0.063082,2.08153,4.31071,0.522832,0.126009,3014.87,26,57,0,32,0.779579,0.339203,0.477778,0.444534,108.779,308.332,56.6965,1.589,0.860364,1.59508,0.604029,1.62909,0.500374,2.45944,1.11004,1.00823,12.6641,1163.64,6322.18,7.26688,25.7774,0.076522,0.189687,0.671255,0.415082,1.49828,32,1.71548,727,6596.18,7.58182,119.668,302.5,Old
49.347,29.0988,48.972,25.1198,131.475,25.8356,137.13,20.9871,97.2946,45.3542,93.2866,44.3544,5.34685,14,2.90631,45.0901,163.56,39.9272,0.93158,0.051319,1.45027,0.904875,85.89,0.962578,2.58161,0.535935,0.793763,0.545189,3.29499,97.4546,260.341,46.0498,1.02292,0.019291,10.5714,8.69434,311.6,0.000227,0.055416,1.23086,2.93172,0.482478,0.052964,6583.89,69,145,0,77,0.84453,0.272197,0.427278,0.429176,117.177,284.778,52.7258,1.61013,0.730156,1.65156,0.562541,1.69333,0.470691,2.13088,1.17249,0.646369,8.97897,1096.18,11528,7.42303,18.2028,0.051552,0.149736,0.638444,0.42329,1.81017,77,3.48437,1239,6869.33,4.42327,81.7313,1068.91,Old
39.3596,22.3949,50.7424,15.2919,141.34,19.6394,138.281,13.2223,85.6814,46.898,81.0656,47.644,4.18204,9,1.79335,41.2285,181.63,42.0757,0.944873,0.042364,1.35513,0.643401,78.96,1.04018,2.73522,0.551516,0.827092,0.573816,3.36807,85.9572,276.444,42.9819,1.01754,0.012383,10.5575,10.3729,235.47,-0.00341,0.051382,1.25767,2.91519,0.543773,0.162305,4732.24,54,112,0,59,0.772929,0.273975,0.416752,0.438846,98.9785,279.585,48.0094,1.35074,0.573095,1.41278,0.50511,1.49837,0.425964,2.03773,0.739679,0.685042,8.90274,963.977,8754.93,7.15272,18.3113,0.073605,0.205801,0.636344,0.409542,1.63347,60,2.48572,1006,5598.38,4.57384,76.045,649.84,Old
43.4301,21.5397,52.8687,22.4311,132.922,21.714,136.965,18.7433,87.464,48.5595,87.1644,42.1059,3.3357,12,2.50042,46.9416,232.41,45.0544,0.926705,0.051606,1.49134,0.912209,87.69,1.1605,3.28117,0.544374,0.979489,0.611953,4.51531,82.2266,208.72,39.1737,1.01915,0.019608,11.0087,10.858,271.43,-0.000089,0.054916,1.90453,4.03249,0.517729,0.073073,5351.96,51,114,0,64,0.744599,0.318139,0.434688,0.437015,96.3543,232.412,45.2792,1.40983,0.563116,1.47419,0.496252,1.55269,0.423942,2.36,0.963534,0.861313,13.3141,1469.85,9827.94,7.76912,26.3589,0.105703,0.263412,0.694755,0.393949,1.52528,64,2.21233,1048,9231.87,7.29792,140.454,278.53,Old
37.5604,24.4263,55.1155,18.9769,136.613,23.089,133.777,19.5534,93.4608,38.0676,101.952,35.4891,2.77526,8,1.93003,42.5528,152.02,37.7846,0.945107,0.044865,1.21116,0.209432,56.34,1.22037,2.73155,0.520251,0.888145,0.576712,3.32618,69.3403,190.408,36.42,1.01686,0.011736,9.25806,7.71238,239.93,-0.003662,0.044869,1.43181,2.88557,0.505808,0.066207,2596,27,61,0,35,0.78976,0.295908,0.44415,0.440348,78.146,193.299,39.1458,1.51455,0.518649,1.61953,0.399076,1.68763,0.327255,2.55417,1.1603,0.724232,7.85396,581.992,4306.67,7.516,15.4705,0.07614,0.18255,0.691247,0.40227,1.48955,35,1.84365,479,2445.09,4.26717,51.928,225.28,Old
45.9047,22.8249,50.8534,19.3598,134.991,22.7282,135.514,13.7171,86.4675,42.2316,82.1071,48.8948,3.15188,8,1.85886,43.1844,126.95,33.7404,0.923931,0.104002,1.41642,0.584198,53.15,1.3227,3.36126,0.575641,1.11936,0.724728,4.68622,73.1309,180.281,36.6392,1.02195,0.035067,8.98649,6.89053,282.25,-0.001744,0.044957,1.81336,3.73154,0.535714,0.122866,3152.8,33,73,0,41,0.746705,0.320489,0.416229,0.42687,86.3757,195.843,42.6686,1.44152,0.570056,1.46901,0.537569,1.54214,0.45789,1.88583,0.548041,1.08665,12.7385,1003.16,5888.5,8.86822,24.9889,0.091307,0.231665,0.689235,0.38999,1.62105,41,2.08426,526,5259.16,7.92042,109.404,249.85,Old
35.114,22.1032,49.2153,21.3725,144.232,21.7055,130.45,30.9432,96.8034,47.5835,92.7668,44.163,3.45311,8,1.97213,78.2827,955.66,129.961,0.934569,0.056671,1.34643,0.512628,126.66,71.2305,322.15,5.53456,90.316,220.094,3949.33,229.485,955.664,81.9563,1.02203,0.023168,11.5253,12.0083,1911.33,0.000276,0.054314,88.9944,342.83,0.559771,0.073845,7672.21,45,98,0,54,0.735882,0.314628,0.372089,0.438422,300.048,955.664,80.012,1.35476,0.542597,1.40263,0.501754,1.4906,0.434601,1.93711,1.11315,5274.52,109253,11471000,11488600,10077.7,213473,0.804096,2.48487,0.690979,0.395942,1.64768,54,2.33257,906,2676.13,2.35161,23.5362,174.85,Old
54.9005,31.1058,58.3802,18.9259,129.457,23.7454,131.252,16.657,88.7266,40.4467,90.6473,46.7287,3.31305,9,2.29745,57.1036,159.3,46.4655,0.945523,0.041846,1.76417,0.857776,91.49,1.41315,3.35802,0.614617,1.01855,0.727599,4.12836,89.7528,256.215,45.3569,1.01628,0.013066,11.5373,9.48622,246.66,0.004054,0.050447,1.77087,3.539,0.651042,0.128436,3855.93,30,66,0,37,0.670695,0.301081,0.490212,0.45612,104.578,269.905,51.4439,1.17196,0.425944,1.21427,0.409009,1.32546,0.363218,1.87417,0.988932,0.966455,10.8399,943.071,7645.05,9.70184,22.5101,0.091405,0.201393,0.725339,0.363141,1.46008,38,1.76546,643,5395.81,6.84748,91.7537,345.46,Young
49.4811,31.7409,58.5825,25.8572,128.453,31.9478,128.233,26.7319,98.8534,47.9544,93.1799,44.1176,4.12951,11,2.70631,54.9896,170.01,50.0792,0.936961,0.051048,1.43847,0.536691,107.49,1.09579,2.61253,0.534143,0.691072,0.511848,2.66762,95.6057,276.598,53.9409,1.01896,0.012788,14.1556,13.688,286.25,0.002045,0.054586,1.30874,2.76949,0.55249,0.088931,4894.56,39,87,0,49,0.752054,0.297618,0.454545,0.435743,113.11,297.969,60.0802,1.36317,0.667257,1.43645,0.540597,1.51949,0.439377,2.20824,0.892715,0.533851,6.56872,732.064,8475.47,6.65787,13.3858,0.073966,0.187245,0.690042,0.388526,1.50785,49,2.24871,1084,3948.05,3.10138,49.2246,319.72,Young
44.8168,26.3384,54.8627,24.4425,135.606,27.4692,137.003,18.0629,85.1882,41.5634,91.3784,42.5744,4.07628,10,2.30117,47.2385,137.39,43.9371,0.922744,0.053535,1.27778,0.344115,84.04,0.972806,2.26909,0.524277,0.627508,0.482923,2.33846,81.8531,213.103,40.5222,1.02009,0.015629,12.7308,11.2076,242.88,0.000888,0.056402,1.14175,2.41242,0.539141,0.074855,4866.12,48,103,0,56,0.806417,0.262879,0.381223,0.434744,100.512,231.41,48.4161,1.45505,0.679816,1.54952,0.489907,1.6236,0.388724,2.43361,0.665673,0.472772,5.56385,630.936,8136.7,6.15019,11.2268,0.064646,0.166802,0.658787,0.411425,1.63444,56,2.57969,1109,3268.06,2.47019,38.6302,281.78,Young
